codgeo;libgeo;an;salles_habitant;nb_entrees;entrees_habitants;nb_cinemas;entrees_fauteuil
23008;Aubusson;2022;6,00;17076;5,10;1;45,10
23008;Aubusson;2023;6,00;21604;6,50;1;57,00
23030;Bourganeuf;2022;3,70;8820;3,30;1;21,50
23030;Bourganeuf;2023;3,70;10944;4,10;1;26,70
23067;La Courtine;2022;12,40;1624;2,00;1;15,60
23067;La Courtine;2023;12,40;1663;2,10;1;16,00
23075;Dun-le-Palestel;2022;9,00;12757;11,50;1;63,80
23075;Dun-le-Palestel;2023;9,00;13620;12,20;1;68,10
23076;vaux-les-Bains;2022;7,60;10086;7,60;1;58,60
23076;vaux-les-Bains;2023;7,60;7702;5,80;1;44,80
23096;Gu‚ret;2022;3,80;76182;5,70;1;109,60
23096;Gu‚ret;2023;3,80;92332;6,90;1;132,90
23176;La Souterraine;2022;1,90;10057;1,90;1;52,90
23176;La Souterraine;2023;1,90;11955;2,30;1;62,90
